,HFI_RF,Mkt_RF,SMB,HML
202009,-0.0070999999999999995,-0.0363,0.0004,-0.0268
202010,-0.0012000000000000001,-0.021,0.04360000000000001,0.0421
202011,0.05789999999999999,0.1247,0.0582,0.021400000000000002
202012,0.0343,0.0463,0.0489,-0.0151
202101,0.010400000000000001,-0.0003,0.0734,0.0296
202102,0.0256,0.0278,0.0206,0.0718
202103,0.0111,0.0308,-0.023700000000000002,0.07400000000000001
202104,0.0204,0.0493,-0.0319,-0.0094
202105,0.0102,0.0029,-0.0025,0.0708
202106,0.0077,0.0275,0.017,-0.0782
202107,-0.0018,0.012700000000000001,-0.039900000000000005,-0.0176
202108,0.0105,0.0291,-0.0043,-0.0016
202109,-0.009500000000000001,-0.0437,0.0072,0.050800000000000005
202110,0.015700000000000002,0.0665,-0.0235,-0.0048
202111,-0.013800000000000002,-0.015500000000000002,-0.013200000000000002,-0.0044
202112,0.0118,0.031000000000000003,-0.0166,0.032799999999999996
202201,-0.0262,-0.0625,-0.05940000000000001,0.1275
202202,-0.0094,-0.0229,0.0223,0.0304
202203,0.0059,0.0305,-0.016,-0.018000000000000002
202204,-0.024,-0.09460000000000002,-0.0141,0.061900000000000004
202205,-0.0085,-0.0034000000000000002,-0.018500000000000003,0.08410000000000001
202206,-0.0391,-0.0843,0.0209,-0.059699999999999996
202207,0.025,0.09570000000000001,0.0281,-0.040999999999999995
202208,-0.0057,-0.037700000000000004,0.0139,0.0031
202209,-0.041299999999999996,-0.0935,-0.008199999999999999,0.0003
